amor_queso,amor_carne,amor_vegetales,amor_arroz,amor_frituras,clase
4.504815160717559,6.487093505983374,7.359998365352014,9.365471113114179,7.971584748654083,arroz_frito
6.060372426229109,2.912683292128796,8.675774215515126,6.4769728234879205,2.1504983518656418,ensalada
4.6382629502936314,4.642363665896782,4.5914486646966655,8.82376708712569,9.123723115024887,arroz_frito
3.3907781260116594,8.288213439739833,6.233084224262773,6.150524769574489,2.8662323015100544,pollo_horneado
6.277018193633051,7.54222721903423,3.222809307790801,2.921289811687086,5.023179668051278,hamburguesa
3.5729833530753257,7.946336451849186,7.752895439816147,5.679609382004077,3.3932446097283147,pollo_horneado
3.7911217561822337,5.354676553128057,6.094504006398828,9.119540050003122,8.376533784852363,arroz_frito
3.684480151351596,7.102436534324022,7.87378418126721,9.115623344905174,7.782924092314026,arroz_frito
6.294101095095499,8.57437761686891,5.4788209716840415,2.1584389718770556,6.25849264414145,hamburguesa
5.605732975986942,3.782020174445375,8.321322831164135,5.428117996540292,3.8189516211874253,ensalada
6.991991573724562,4.636089416219407,5.443369582478965,4.269896449616051,5.436244465001577,pizza
8.083952301341961,8.013379218929906,2.579827167913406,3.1238062033523657,6.431986651101544,hamburguesa
1.9619802492064562,6.973940465960739,7.2196654698968326,9.215511237978278,8.277909621942227,arroz_frito
6.842117210849797,7.876472784953601,3.739490932443437,3.567676250911366,7.137097242673806,hamburguesa
6.400827411673765,6.5773504551676645,5.381555171349544,5.167111384406269,5.968149498399678,pizza
3.6905984201090516,3.857242458172293,5.359677024631147,8.700316046057157,6.996515095195382,arroz_frito
4.091888517543633,3.224554423396591,8.296987395546159,4.758163558008153,4.540886999255759,ensalada
6.520593791179124,3.5962779153150617,8.85488004016534,5.9261583031767975,3.0008538747080338,ensalada
5.393322570839934,4.687595117292228,8.25853708331863,5.7739492962506,3.8937816937555847,ensalada
3.634091370005503,4.786709354275857,6.856230589251336,8.768429059536246,7.6921730755876325,arroz_frito
3.895275715257989,4.67610707748425,7.898351355140415,8.247854552910894,4.140416901721691,arroz_frito
3.4547095665093535,3.56127412054599,5.931655570453121,8.720527030943986,7.2701630689775625,arroz_frito
5.155486764823678,8.031501663071733,7.7737302138165925,4.956562773909262,2.86169616087742,pollo_horneado
8.496586083965589,7.641265048134085,3.109064718153155,3.649308790744431,6.084818656243765,hamburguesa
4.234671320834412,7.355624919397652,7.336698754831763,9.415222516998394,8.803583614074672,arroz_frito
3.2758486447156234,8.069471933568993,5.442384008835883,6.319606387531114,2.960063998476604,pollo_horneado
5.612638101315742,3.2899202408701176,8.578285680159064,6.223641570790633,3.410634514326525,ensalada
7.768034994722486,4.536293796640079,5.0883410215515195,2.567654068123118,5.778581761613467,pizza
5.949364293219645,8.308870199165472,4.220327314630431,6.194638193465803,6.23798056398172,pizza
2.0580320233570433,8.511216484814327,5.786205206384395,7.9735887799701395,3.1260707150314246,pollo_horneado
3.9760741916773656,7.933746771215084,5.399928250083998,5.847983453900655,3.056560846413003,pollo_horneado
7.53630934704835,4.9221074001442755,5.021344843515542,3.649346161530404,6.016699013246148,pizza
6.612942252693591,5.816525558868284,3.3754842457414655,3.7370412201209597,5.54483184848467,pizza
7.6543244249255,7.931301613736423,3.8696831206467444,2.581231085073687,5.858495709032183,hamburguesa
2.740457887906026,8.173342095558434,8.457608925480965,9.101089504443928,4.040715920081739,pollo_horneado
3.4245934726886675,8.186566115145176,7.782252163474552,4.818354857235425,3.075461330884271,pollo_horneado
2.0793935694192562,2.2346644611187063,1.929626591698188,8.787324665198453,6.253719357109873,arroz_frito
4.814635524517966,5.123768215773279,6.135469695389084,8.88064093835588,7.30826659767518,arroz_frito
3.7498957558164037,4.549540553172909,7.20402248981995,9.227919571406167,7.459821339502378,arroz_frito
6.203046423188053,3.170470567067392,8.667629860302995,5.3688265434900195,2.8772798062062694,ensalada
5.908879683629171,7.911176691326579,1.90552182823185,3.4113120014422234,5.391234126269541,hamburguesa
5.892015630061025,3.8199630882152387,8.874735307306358,7.29023126852016,2.9623036718723603,ensalada
5.356818618237785,7.36097931153556,3.5334806297210424,2.9127142020868266,5.4173052431016,hamburguesa
5.376267726640424,4.042871953272835,4.709083356845497,3.1478974518008345,3.7888999148056977,pizza
4.041085894959005,4.74033169561302,8.472516276438396,6.855184750911878,2.6570649763315,ensalada
3.6446736742166728,5.009100115359152,8.392590488751194,5.946236826493227,4.836352108971707,ensalada
2.3638552600988536,7.289721869101706,4.078057352808693,7.316268528433625,3.9509828136374328,pollo_horneado
7.128104723113854,7.824344993344664,4.404014352974615,2.2736484908218966,8.694446415875488,hamburguesa
3.833255373560071,6.285944618831767,7.847805551718284,7.68527113014608,3.0127573541735564,ensalada
5.744690033185763,4.100303828287673,8.229118893066172,6.3859786227416775,2.873154617652361,ensalada
3.687233488544431,7.807327622329707,6.2622713262370295,6.9344447622578755,3.5083477142682646,pollo_horneado
2.8353174435881825,4.081270486512419,3.8311359600668995,8.751956691204914,5.703976172337052,arroz_frito
4.307773863558069,4.586458280163258,7.757835838999922,6.067275222911502,2.7702350822229818,ensalada
4.183608870851355,5.893115516969091,8.385972457802502,8.574046699088127,6.584995910420831,arroz_frito
2.150557075030166,8.146179240180318,5.784944571589289,6.925314819654421,3.2713983586810653,pollo_horneado
5.1989356356811935,4.070949722892947,8.260723328466048,6.094468126497366,2.1726986348450064,ensalada
6.176702553800035,3.4169822586551044,8.780473677119119,6.567321923994961,2.8044921639220397,ensalada
2.7724679050996444,6.368323477373131,7.739259576460839,8.59295180341133,7.751195309065359,arroz_frito
3.6372493668121972,6.8008652041562785,5.697557885605406,7.031905963225628,4.527380786417154,pollo_horneado
3.3547035038965545,8.195434593290072,6.83223344378068,7.5320378902677625,3.5093572919681257,pollo_horneado
6.877256784710238,3.7730103544602134,8.14074188919526,6.75328443528939,1.4781535097960061,ensalada
3.5892812673153145,8.298026740500687,7.171584302037569,6.484787248756631,3.0128863578402636,pollo_horneado
4.816355431263714,4.466369069302285,8.080360812656933,7.225178814973888,2.9702448214153305,ensalada
6.993881659174177,4.82534518399107,4.573954193402582,3.819872360118881,5.113580668360041,pizza
6.890066997623431,5.428261410825279,5.2862454967138675,3.867388298481253,6.625658633444189,pizza
